,id,type,name,link,count
0,9,2,Alfredo Cuzzocrea,/profile/81100432224,269.0
1,4846,2,Egemen Tanin,/profile/81100316892,135.0
2,5227,2,Gustavo Rossi,/profile/81100497792,98.0
3,4492,2,Johann Gamper,/profile/81100583489,96.0
4,4047,2,Giovanni Pilato,/profile/81100106451,63.0
5,4511,2,Michael H. Böhlen,/profile/81406594287,61.0
6,4859,2,Lars Kulik,/profile/81100419795,60.0
7,4843,2,Hairuo Xie,/profile/81324495087,56.0
8,4631,2,Gianfranco Bilardi,/profile/81100228925,54.0
9,4605,2,Andrea Pietracaprina,/profile/81100576822,50.0
10,4606,2,Geppino Pucci,/profile/81100245526,47.0
11,2760,2,Enzo Mumolo,/profile/81100408949,42.0
12,4847,2,Shanika Karunasekera,/profile/81100125530,41.0
13,115,2,Carson K. Leung,/profile/81339512271,39.0
14,5244,2,Julian Grigera,/profile/81330491339,39.0
15,5082,2,Sandro Bimonte,/profile/81384616037,37.0
16,5230,2,Alejandra Garrido,/profile/81100081874,31.0
17,4851,2,Kotagiri Ramamohanarao,/profile/81100532239,29.0
18,4165,2,Agnese Augello,/profile/81350599511,28.0
19,4349,2,Fabio Persia,/profile/81453660973,27.0
20,5468,2,Thomas Augustin,/profile/81387601170,27.0
21,5562,2,Sergiy Bogomolov,/profile/81479645756,27.0
22,4766,2,Leszek Siwik,/profile/81384616939,25.0
23,5249,2,Sergio Firmenich,/profile/81479661465,25.0
24,4494,2,Matteo Ceccarello,/profile/81550734056,24.0
25,1564,2,Giorgio Mario Grasso,/profile/99658680016,23.0
26,4167,2,Salvatore Gaglio,/profile/81100030003,23.0
27,4453,2,Anton Dignös,/profile/81502810495,23.0
28,4512,2,Christian S. Jensen,/profile/81331495182,21.0
29,5430,2,Christian Wiede,/profile/99659059251,20.0
30,4879,2,Rui Zhang,/profile/81435596120,19.0
31,4845,2,Udesh Gunarathna,/profile/99660079966,18.0
32,4905,2,Mahmoud Sakr,/profile/81464641518,17.0
33,5431,2,Gangolf Hirtz,/profile/88159139757,17.0
34,5514,2,Scott Ferson,/profile/81343492463,17.0
35,1832,2,Antonio Picariello,/profile/81375600136,16.0
36,4299,2,Alessandro Moro,/profile/81472650127,16.0
37,5243,2,Juan Cruz Gardey,/profile/99659299566,16.0
38,5290,2,Silvia Gordillo,/profile/81100400051,16.0
39,1831,2,Vincenzo Moscato,/profile/81100633518,15.0
40,4848,2,Renata Borovica-Gajic,/profile/81548007361,15.0
41,4871,2,Jianzhong Qi,/profile/81490658396,14.0
42,5117,2,Leandro Antonelli,/profile/81453622657,14.0
43,5242,2,Andres Rodriguez,/profile/99658663482,14.0
44,5275,2,Damiano Distante,/profile/81100260526,14.0
45,5423,2,Julia Richter,/profile/99659058835,14.0
46,5518,2,Marcelo Forets,/profile/81508708070,14.0
47,5519,2,Christian Schilling,/profile/81554516056,14.0
48,5260,2,Matias Urbieta,/profile/81322508168,13.0
49,4188,2,Peter Braun,/profile/99661068159,12.0
50,4690,2,F. P. Preparata,/profile/81100433169,12.0
51,4814,2,Wojciech Turek,/profile/81384601262,12.0
52,539,2,Chenggong Zhai,/profile/99659315986,11.0
53,4168,2,Filippo Vella,/profile/81310493613,11.0
54,4401,2,Giorgio Vassallo,/profile/81100191321,11.0
55,4667,2,Kieran T. Herley,/profile/81100273137,11.0
56,4695,2,Keshav Pingali,/profile/81100554731,11.0
57,4805,2,Mateusz Paciorek,/profile/99659505974,11.0
58,5443,2,Anton Grabmaier,/profile/81551046856,11.0
59,5482,2,Georg Schollmeyer,/profile/99659034600,11.0
60,227,2,Vincenzo Loia,/profile/81100415437,10.0
61,1563,2,Guandong Xu,/profile/81451595383,10.0
62,4573,2,Juozas Gordevičius,/profile/81414595853,10.0
63,4772,2,Adrian Kłusek,/profile/99659086046,10.0
64,4866,2,Hanan Samet,/profile/81100139629,10.0
65,4945,2,Esteban Zimányi,/profile/81100400098,10.0
66,4978,2,Sarana Nutanong,/profile/81100508207,10.0
