,id,type,name,link,count
150,8382,1,,/document/9529772/,
151,8383,2,,/author/37088962257,
152,8384,2,,/author/37088961774,
153,8385,2,,/author/37088962427,
154,8386,2,,/author/37088961968,
155,8387,1,,/document/9529442/,
156,8388,2,,/author/37088962504,
157,8389,1,,/document/9529456/,
158,8390,1,,/document/9462101/,
159,8391,2,,/author/37085561843,
160,8392,1,,/document/9377947/,
161,8393,2,,/author/37088809055,
162,8394,2,,/author/37088808758,
163,8395,2,,/author/38467812900,
164,8396,1,,/document/9378398/,
165,8397,2,,/author/37270354900,
166,8398,1,,/document/9378306/,
167,8399,2,,/author/37086357986,
168,8400,2,,/author/37086494316,
169,8401,2,,/author/37086211765,
170,8402,1,,/document/9377854/,
171,8403,1,,/document/9373130/,
172,8404,1,,/document/9177823/,
173,8405,2,,/author/37088473737,
174,8406,2,,/author/37088473379,
175,8407,2,,/author/37088474009,
176,8408,1,,/document/9046058/,
177,8409,2,,/author/37862256800,
178,8410,1,,/document/9005705/,
179,8411,2,,/author/37088199952,
180,8412,1,,/document/9005969/,
181,8413,2,,/author/37088199191,
182,8414,1,,/document/9006356/,
183,8415,2,,/author/37088199043,
184,8416,1,,/document/9005713/,
185,8417,2,,/author/37088198679,
186,8418,1,,/document/8955576/,
187,8419,1,,/document/8858791/,
188,8420,2,,/author/37087042505,
189,8421,2,,/author/37087040486,
190,8422,2,,/author/37087040482,
191,8423,2,,/author/37087042793,
192,8424,1,,/document/8754101/,
193,8425,2,,/author/37316875500,
194,8426,1,,/document/8752664/,
195,8427,2,,/author/37086479990,
196,8428,2,,/author/37546670000,
197,8429,1,,/document/8752915/,
198,8430,1,,/document/8622200/,
199,8431,2,,/author/37411760500,
200,8432,2,,/author/37072351700,
201,8433,1,,/document/8616498/,
202,8434,1,,/document/8614267/,
203,8435,2,,/author/37086610576,
204,8436,2,,/author/37086608800,
205,8437,2,,/author/37086610477,
206,8438,1,,/document/8614266/,
207,8439,2,,/author/37086607726,
208,8440,1,,/document/8576128/,
209,8441,1,,/document/8564166/,
210,8442,2,,/author/37086553802,
211,8443,2,,/author/37086556706,
212,8444,2,,/author/37086554119,
213,8445,2,,/author/37086553925,
214,8446,1,,/document/8491637/,
215,8447,1,,/document/8491523/,
216,8448,2,,/author/37086480548,
217,8449,2,,/author/37086480188,
218,8450,2,,/author/37086480891,
219,8451,1,,/document/8457695/,
220,8452,2,,/author/37086469508,
221,8453,1,,/document/8411086/,
222,8454,2,,/author/37283378600,
223,8455,1,,/document/8377857/,
224,8456,1,,/document/8377692/,
225,8457,2,,/author/38231899500,
226,8458,1,,/document/8372018/,
227,8459,2,,/author/37540804400,
228,8460,2,,/author/37681815400,
229,8461,2,,/author/37283781700,
230,8462,1,,/document/8260706/,
231,8463,2,,/author/37348394200,
232,8464,1,,/document/8260705/,
233,8465,2,,/author/37086314517,
234,8466,2,,/author/37087165251,
235,8467,2,,/author/37087165040,
236,8468,2,,/author/37086313526,
237,8469,1,,/document/8258487/,
238,8470,1,,/document/8258486/,
239,8471,1,,/document/8258484/,
240,8472,2,,/author/37418531500,
241,8473,2,,/author/38094048300,
242,8474,1,,/document/8072024/,
243,8475,1,,/document/8029911/,
244,8476,1,,/document/7973796/,
245,8477,2,,/author/37086000077,
246,8478,1,,/document/7973795/,
247,8479,2,,/author/37085863129,
248,8480,2,,/author/37085995957,
249,8481,2,,/author/37085450052,
250,8482,2,,/author/37573429400,
251,8483,1,,/document/7973630/,
252,8484,1,,/document/7982277/,
253,8485,2,,/author/37087069064,
254,8486,2,,/author/37396769800,
255,8487,2,,/author/37087067928,
256,8488,2,,/author/37311791400,
257,8489,1,,/document/7844899/,
258,8490,2,,/author/998993533201433,
259,8491,1,,/document/7841032/,
260,8492,1,,/document/7838195/,
261,8493,2,,/author/37329477000,
262,8494,2,,/author/37085694074,
263,8495,2,,/author/37442552500,
264,8496,1,,/document/7816919/,
265,8497,2,,/author/37086147814,
266,8498,2,,/author/37295708500,
267,8499,2,,/author/38242677200,
268,8500,2,,/author/37270233500,
269,8501,1,,/document/7727691/,
270,8502,1,,/document/7584919/,
271,8503,1,,/document/7552088/,
272,8504,2,,/author/37085851179,
273,8505,1,,/document/7515753/,
274,8506,2,,/author/37085806152,
275,8507,1,,/document/7371376/,
276,8508,2,,/author/38108987700,
277,8509,2,,/author/37714503400,
278,8510,2,,/author/37709216800,
279,8511,1,,/document/7363963/,
280,8512,2,,/author/37688275400,
281,8513,2,,/author/37085519070,
282,8514,2,,/author/37589804900,
283,8515,2,,/author/37398784800,
284,8516,1,,/document/7363967/,
285,8517,2,,/author/37372660700,
286,8518,2,,/author/37085722123,
287,8519,1,,/document/7273687/,
288,8520,2,,/author/37291456300,
289,8521,1,,/document/7273591/,
290,8522,2,,/author/37085563841,
291,8523,1,,/document/7231006/,
292,8524,2,,/author/37602402600,
293,8525,2,,/author/37085676162,
294,8526,1,,/document/7231005/,
295,8527,2,,/author/37087286839,
296,8528,2,,/author/37085588323,
297,8529,1,,/document/7210427/,
298,8530,2,,/author/37660869300,
299,8531,1,,/document/7185182/,
300,8532,2,,/author/38196249800,
301,8533,2,,/author/37269782700,
302,8534,1,,/document/7185159/,
303,8535,1,,/document/7166161/,
304,8536,1,,/document/7152577/,
305,8537,2,,/author/37085382264,
306,8538,1,,/document/7152575/,
307,8539,1,,/document/7058058/,
308,8540,2,,/author/37087346385,
309,8541,2,,/author/37089050211,
310,8542,2,,/author/37087073232,
311,8543,2,,/author/37087546689,
312,8544,1,,/document/7023969/,
313,8545,2,,/author/37704374600,
314,8546,2,,/author/37274106000,
315,8547,1,,/document/7023938/,
316,8548,2,,/author/37085458364,
317,8549,1,,/document/7008050/,
318,8550,2,,/author/37320183900,
319,8551,2,,/author/37071936600,
320,8552,2,,/author/37320185000,
321,8553,2,,/author/37703867800,
322,8554,1,,/document/7008049/,
323,8555,2,,/author/37085345058,
324,8556,2,,/author/37085357957,
325,8557,1,,/document/6984581/,
326,8558,2,,/author/37370599500,
327,8559,2,,/author/38081077300,
328,8560,1,,/document/6976691/,
329,8561,1,,/document/6846519/,
330,8562,1,,/document/6816600/,
331,8563,1,,/document/6721930/,
332,8564,2,,/author/37086657413,
333,8565,1,,/document/6676574/,
334,8566,2,,/author/37086727105,
335,8567,1,,/document/6649871/,
336,8568,1,,/document/6649826/,
337,8569,1,,/document/6546140/,
338,8570,2,,/author/37829575200,
339,8571,2,,/author/37393515800,
340,8572,1,,/document/6546142/,
341,8573,2,,/author/37273318600,
342,8574,2,,/author/37266253500,
343,8575,1,,/document/6495185/,
344,8576,2,,/author/38581203700,
345,8577,1,,/document/6377891/,
346,8578,2,,/author/38529072900,
347,8579,1,,/document/6245571/,
348,8580,2,,/author/37689176500,
349,8581,2,,/author/38466871800,
350,8582,2,,/author/38466606800,
351,8583,1,,/document/6217533/,
352,8584,2,,/author/37595109600,
353,8585,2,,/author/37400451800,
354,8586,2,,/author/38243646000,
355,8587,1,,/document/6133135/,
356,8588,2,,/author/38001720600,
357,8589,2,,/author/37276770900,
358,8590,1,,/document/6059804/,
359,8591,2,,/author/38241617000,
360,8592,1,,/document/6083778/,
361,8593,2,,/author/37847636700,
362,8594,1,,/document/6068463/,
363,8595,1,,/document/5967305/,
364,8596,1,,/document/5670090/,
365,8597,2,,/author/37590130200,
366,8598,2,,/author/37283166900,
367,8599,1,,/document/5591141/,
368,8600,1,,/document/5366630/,
369,8601,1,,/document/5362626/,
370,8602,2,,/author/37285986000,
371,8603,2,,/author/37268540100,
372,8604,2,,/author/37294341000,
373,8605,1,,/document/5363394/,
374,8606,1,,/document/5337082/,
375,8607,1,,/document/4624742/,
376,8608,2,,/author/37698710900,
377,8609,1,,/document/4591739/,
378,8610,1,,/document/4312849/,
379,8611,2,,/author/37705356400,
380,8612,1,,/document/4041643/,
381,8613,1,,/document/1644327/,
382,8614,1,,/document/1540909/,
383,8615,1,,/document/1517818/,
384,8616,1,,/document/1392868/,
385,8617,2,,/author/37328680700,
386,8618,2,,/author/37267548400,
387,8619,2,,/author/37089653155,
388,8620,1,,/document/1410835/,
389,8621,1,,/document/1286436/,
390,8622,2,,/author/37089038210,
391,8623,1,,/document/1319826/,
392,8624,1,,/document/1254509/,
393,8625,1,,/document/1193935/,
394,8626,1,,/document/918831/,
395,8627,2,,/author/37269639500,
396,8628,2,,/author/37269637600,
397,8629,1,,/document/9842621/,
398,8630,2,,/author/37085383888,
399,8631,2,,/author/37282567500,
400,8632,2,,/author/37406114600,
401,8633,1,,/document/9346429/,
402,8634,2,,/author/37375461900,
403,8635,1,,/document/9346471/,
404,8636,2,,/author/37393642900,
405,8637,2,,/author/38241694500,
406,8638,1,,/document/10234365/,
407,8639,2,,/author/37088961893,
408,8640,2,,/author/37089988920,
409,8641,2,,/author/37085725579,
410,8642,1,,/document/10197055/,
411,8643,1,,/document/10196901/,
412,8644,1,,/document/10196914/,
413,8645,2,,/author/37088458003,
414,8646,2,,/author/37086262511,
415,8647,2,,/author/37089952141,
416,8648,1,,/document/9927856/,
417,8649,2,,/author/37089636214,
418,8650,2,,/author/37089636554,
419,8651,2,,/author/37087241412,
420,8652,1,,/document/10431832/,
421,8653,2,,/author/37088511010,
422,8654,2,,/author/37089987826,
423,8655,2,,/author/37089650762,
424,8656,2,,/author/656704745887731,
425,8657,2,,/author/37089478472,
426,8658,2,,/author/37089480030,
427,8659,2,,/author/37086303854,
428,8660,2,,/author/934332552876148,
429,8661,2,,/author/166069054266555,
430,8662,2,,/author/999869904900109,
431,8663,1,,/document/10246715/,
432,8664,2,,/author/37087994671,
433,8665,2,,/author/37089968362,
434,8666,2,,/author/37268902000,
435,8667,2,,/author/37545671000,
436,8668,2,,/author/38646703600,
437,8669,1,,/document/10197081/,
438,8670,2,,/author/37085793566,
439,8671,2,,/author/37088512234,
440,8672,2,,/author/37087006254,
441,8673,2,,/author/37088961524,
442,8674,2,,/author/37089479216,
443,8675,2,,/author/37089480651,
444,8676,2,,/author/37089480887,
445,8677,1,,/document/9842687/,
446,8678,1,,/document/9529724/,
447,8679,2,,/author/38666965500,
448,8680,2,,/author/37088962007,
449,8681,2,,/author/37088509470,
450,8682,2,,/author/37088962182,
451,8683,2,,/author/37088961787,
452,8684,1,,/document/10234361/,
453,8685,1,,/document/10224758/,
454,8686,2,,/author/37283921800,
455,8687,1,,/document/10224756/,
456,8688,2,,/author/37089985255,
457,8689,1,,/document/10224729/,
458,8690,1,,/document/10197109/,
459,8691,2,,/author/37089959853,
460,8692,2,,/author/37088837809,
461,8693,2,,/author/37089957500,
462,8694,2,,/author/37086959348,
463,8695,2,,/author/37089961571,
464,8696,1,,/document/9983633/,
465,8697,2,,/author/37089652771,
466,8698,2,,/author/37089650678,
467,8699,2,,/author/37089650720,
468,8700,2,,/author/37089651467,
469,8701,2,,/author/37089651541,
470,8702,2,,/author/37089650923,
471,8703,2,,/author/37089651459,
472,8704,1,,/document/9842741/,
